name.or.i.	Sequence	Group
Aspergillus_fumigatus_Afu6g12080_A3_3	Af_Afu6g12080_A3_3	EAS
Aspergillus_fumigatus_Afu8g00170_A1_2	Af_Afu8g00170_A1_2	EAS
Aspergillus_fumigatus_Afu8g00170_A2_2	Af_Afu8g00170_A2_2	EAS
Aspergillus_fumigatus_Afu8g00540_A1_1	Af_Afu8g00540_A1_1	PKS;NRPS
Aspergillus_fumigatus_Afu8g01220_A1_1	Af_Afu8g01220_A1_1	ChNPS11/ETP Mod 2
Aspergillus_fumigatus_Afu8g01640_A1_1	Af_Afu8g01640_A1_1	CYCLO
Aspergillus_fumigatus_CPS1_Afu1g15010_A1_2	Af_CPS1_Afu1g15010_A1_2	Outgroups
Aspergillus_fumigatus_CPS1_Afu1g15010_A2_2	Af_CPS1_Afu1g15010_A2_2	Outgroups
Aspergillus_fumigatus_GliP_Afu6g09660_A1_2	Af_GliP_Afu6g09660_A1_2	ChNPS11/ETP Mod 1
Aspergillus_fumigatus_GliP_Afu6g09660_A2_2	Af_GliP_Afu6g09660_A2_2	ChNPS11/ETP Mod 2
Aspergillus_fumigatus_LCFAL_Afu1g17190_A1_1	Af_LCFAL_Afu1g17190_A1_1	Outgroups
Aspergillus_fumigatus_NPS10_Afu5g10120_A1_1	Af_NPS10_Afu5g10120_A1_1	ChNPS10
Aspergillus_fumigatus_NPS6_Afu3g03420_A1_1	Af_NPS6_Afu3g03420_A1_1	EAS
Aspergillus_fumigatus_OCHRA_Afu3g02670_A1_1	Af_OCHRA_Afu3g02670_A1_1	Outgroups
Aspergillus_nidulans_ACVS_AN2621.4_A1_3	An_ACVS_AN2621.4_A1_3	ACV
Aspergillus_nidulans_ACVS_AN2621.4_A2_3	An_ACVS_AN2621.4_A2_3	ACV
Aspergillus_nidulans_ACVS_AN2621.4_A3_3	An_ACVS_AN2621.4_A3_3	ACV
Aspergillus_nidulans_AN0016.4_A1_4	An_AN0016.4_A1_4	EAS
Aspergillus_nidulans_AN0016.4_A2_4	An_AN0016.4_A2_4	EAS
Aspergillus_nidulans_AN0016.4_A3_4	An_AN0016.4_A3_4	EAS
Aspergillus_nidulans_AN0016.4_A4_4	An_AN0016.4_A4_4	EAS
Aspergillus_nidulans_AN10576.4_A1_1	An_AN10576.4_A1_1	EAS
Aspergillus_nidulans_AN1242.4_A1_4	An_AN1242.4_A1_4	EAS
Aspergillus_nidulans_AN1242.4_A2_4	An_AN1242.4_A2_4	EAS
Aspergillus_nidulans_AN1242.4_A3_4	An_AN1242.4_A3_4	EAS
Aspergillus_nidulans_AN1242.4_A4_4	An_AN1242.4_A4_4	EAS
Aspergillus_nidulans_AN2545.4_A1_5	An_AN2545.4_A1_5	EAS
Aspergillus_nidulans_AN2545.4_A2_5	An_AN2545.4_A2_5	EAS
Aspergillus_nidulans_AN2545.4_A3_5	An_AN2545.4_A3_5	EAS
Aspergillus_nidulans_AN2545.4_A4_5	An_AN2545.4_A4_5	EAS
Aspergillus_nidulans_AN2545.4_A5_5	An_AN2545.4_A5_5	EAS
Aspergillus_nidulans_AN3495.4_A1_1	An_AN3495.4_A1_1	EAS
Aspergillus_nidulans_AN3496.4_A1_2	An_AN3496.4_A1_2	EAS
Aspergillus_nidulans_AN3496.4_A2_2	An_AN3496.4_A2_2	EAS
Aspergillus_nidulans_AN7884.4_A1_6	An_AN7884.4_A1_6	EAS
Aspergillus_nidulans_AN7884.4_A2_6	An_AN7884.4_A2_6	EAS
Aspergillus_nidulans_AN7884.4_A3_6	An_AN7884.4_A3_6	EAS
Aspergillus_nidulans_AN7884.4_A4_6	An_AN7884.4_A4_6	EAS
Aspergillus_nidulans_AN7884.4_A5_6	An_AN7884.4_A5_6	EAS
Aspergillus_nidulans_AN7884.4_A6_6	An_AN7884.4_A6_6	EAS
Aspergillus_nidulans_AN8105.4_A1_1	An_AN8105.4_A1_1	CYCLO
Aspergillus_nidulans_AN8412.4_A1_1	An_AN8412.4_A1_1	PKS;NRPS
Aspergillus_nidulans_AN8433.4_A1_1	An_AN8433.4_A1_1	EAS
Aspergillus_nidulans_AN9129.4_A1_1	An_AN9129.4_A1_1	ChNPS11/ETP Mod 2
Aspergillus_nidulans_AN9226.4_A1_2	An_AN9226.4_A1_2	EAS
Aspergillus_nidulans_AN9226.4_A2_2	An_AN9226.4_A2_2	CYCLO
Aspergillus_nidulans_AN9243.4_A1_1	An_AN9243.4_A1_1	EAS
Aspergillus_nidulans_AN9244.4_A1_2	An_AN9244.4_A1_2	EAS
Aspergillus_nidulans_AN9244.4_A2_2	An_AN9244.4_A2_2	EAS
Aspergillus_nidulans_NPS10_AN5318.4_A1_1	An_NPS10_AN5318.4_A1_1	ChNPS10
Aspergillus_nidulans_NPS6_AN6236.4_A1_1	An_NPS6_AN6236.4_A1_1	EAS
Aspergillus_nidulans_SidC_AN0607.4_A1_3	An_SidC_AN0607.4_A1_3	SID
Aspergillus_nidulans_SidC_AN0607.4_A2_3	An_SidC_AN0607.4_A2_3	SID
Aspergillus_nidulans_SidC_AN0607.4_A3_3	An_SidC_AN0607.4_A3_3	SID
Bacillus_amyloliquefaciens_YP_001419995.1_A1_3	Ba_YP_001419995.1_A1_3	Bact
Bacillus_amyloliquefaciens_YP_001419995.1_A2_3	Ba_YP_001419995.1_A2_3	Bact
Bacillus_amyloliquefaciens_YP_001419995.1_A3_3	Ba_YP_001419995.1_A3_3	Bact
Bacillus_subtilis_AAL_MycA_AAF08795.1_A2_2	Bs_AAL_MycA_AAF08795.1_A2_2	Bact
Bacillus_subtilis_AAL_MycA_AFF08795.1_A1_2	Bs_AAL_MycA_AFF08795.1_A1_2	Outgroups
Bacillus_subtilis_AAN15214.1_DhbE_A1_1	Bs_AAN15214.1_DhbE_A1_1	Outgroups
Bacillus_subtilis_DhbF_AAD56240.1_A1_2	Bs_DhbF_AAD56240.1_A1_2	Bact
Bacillus_subtilis_DhbF_AAD56240.1_A2_2	Bs_DhbF_AAD56240.1_A2_2	Bact
Bacillus_subtilis_SFRAB_Q04747.2_A3_3	Bs_SFRAB_Q04747.2_A3_3	Bact
Bacillus_subtilis_SRFAA_P27206.3_A1_3	Bs_SRFAA_P27206.3_A1_3	Bact
Bacillus_subtilis_SRFAA_P27206.3_A2_3	Bs_SRFAA_P27206.3_A2_3	Bact
Bacillus_subtilis_SRFAA_P27206.3_A3_3	Bs_SRFAA_P27206.3_A3_3	Bact
Bacillus_subtilis_SRFAB_Q04747.2_A1_3	Bs_SRFAB_Q04747.2_A1_3	Bact
Bacillus_subtilis_SRFAB_Q04747.2_A2_3	Bs_SRFAB_Q04747.2_A2_3	Bact
Bacillus_texasporus_AAY29581.1_A1_2	Bt_AAY29581.1_A1_2	Bact
Bacillus_texasporus_AAY29581.1_A2_2	Bt_AAY29581.1_A2_2	Bact
Batrachochytrium_dendrobatidis_AAR_BDEG1579.1_A1_1	Bd_AAR_BDEG1579.1_A1_1	AAR
Batrachochytrium_dendrobatidis_ACOAS_BDEG00471.1_A1_1	Bd_ACOAS_BDEG00471.1_A1_1	Outgroups
Batrachochytrium_dendrobatidis_BDEG03514.1_A1_1	Bd_BDEG03514.1_A1_1	ChNPS11/ETP Mod 2
Batrachochytrium_dendrobatidis_BDEG08447.1_A1_1	Bd_BDEG08447.1_A1_1	ChNPS11/ETP Mod 2
Botrytis_cinerea_BC1G00695.1_A1_1	Bc_BC1G00695.1_A1_1	PKS;NRPS
Botrytis_cinerea_BC1G02495.1_A1_2	Bc_BC1G02495.1_A1_2	EAS
Botrytis_cinerea_BC1G02495.1_A2_2	Bc_BC1G02495.1_A2_2	EAS
Botrytis_cinerea_BC1G03511.1_A1_3	Bc_BC1G03511.1_A1_3	SID
Botrytis_cinerea_BC1G03511.1_A2_3	Bc_BC1G03511.1_A2_3	SID
Botrytis_cinerea_BC1G03511.1_A3_3	Bc_BC1G03511.1_A3_3	SID
Botrytis_cinerea_BC1G04782.1_A1_1	Bc_BC1G04782.1_A1_1	EAS
Botrytis_cinerea_BC1G07441_07442.1_A1_1	Bc_BC1G07441_07442.1_A1_1	ChNPS11/ETP Mod 2
Botrytis_cinerea_BC1G09040_41.1_A1_3	Bc_BC1G09040_41.1_A1_3	EAS
Botrytis_cinerea_BC1G09040_41.1_A2_3	Bc_BC1G09040_41.1_A2_3	EAS
Botrytis_cinerea_BC1G09040_41.1_A3_3	Bc_BC1G09040_41.1_A3_3	EAS
Botrytis_cinerea_BC1G10622.1_A1_1	Bc_BC1G10622.1_A1_1	EAS
Botrytis_cinerea_BC1G10928.1_A1_3	Bc_BC1G10928.1_A1_3	SID
Botrytis_cinerea_BC1G10928.1_A2_3	Bc_BC1G10928.1_A2_3	SID
Botrytis_cinerea_BC1G10928.1_A3_3	Bc_BC1G10928.1_A3_3	SID
Botrytis_cinerea_BC1G11613.1_A1_1	Bc_BC1G11613.1_A1_1	NA
Botrytis_cinerea_BC1G15494.1_A1_1	Bc_BC1G15494.1_A1_1	SID
Botrytis_cinerea_BC1G15703.1_A1_1	Bc_BC1G15703.1_A1_1	PKS;NRPS
Botrytis_cinerea_NPS6_BC1G10567.1_A1_1	Bc_NPS6_BC1G10567.1_A1_1	EAS
Botrytis_cinerea_OCHRA_BC1G02723.1_A1_1	Bc_OCHRA_BC1G02723.1_A1_1	Outgroups
Brevibacillus_parabrevis_GRSA_P0C062.1_A1_1	Bp_GRSA_P0C062.1_A1_1	Bact
Brevibacillus_parabrevis_GRSB_P0C064.2_A2_4	Bp_GRSB_P0C064.2_A2_4	Bact
Brevibacillus_parabrevis_GRSB_P0C064.2_A3_4	Bp_GRSB_P0C064.2_A3_4	Bact
Brevibacillus_parabrevis_GRSB_P0C064.2_A4_4	Bp_GRSB_P0C064.2_A4_4	Bact
Brevibacillus_parabrevis_P0C064.2_GRSB_A1_4	Bp_P0C064.2_GRSB_A1_4	Bact
Brevibacillus_parabrevis_TycC_O30409.1_A1_6	Bp_TycC_O30409.1_A1_6	Bact
Brevibacillus_parabrevis_TycC_O30409.1_A2_6	Bp_TycC_O30409.1_A2_6	Bact
Brevibacillus_parabrevis_TycC_O30409.1_A3_6	Bp_TycC_O30409.1_A3_6	Bact
Brevibacillus_parabrevis_TycC_O30409.1_A4_6	Bp_TycC_O30409.1_A4_6	Bact
Brevibacillus_parabrevis_TycC_O30409.1_A5_6	Bp_TycC_O30409.1_A5_6	Bact
Brevibacillus_parabrevis_TycC_O30409.1_A6_6	Bp_TycC_O30409.1_A6_6	Bact
Brevibacillus_texasporus_AAY29582.1_A1_2	Bt_AAY29582.1_A1_2	Bact
Brevibacillus_texasporus_AAY29582.1_A2_2	Bt_AAY29582.1_A2_2	Bact
Burkholderia_cenocepacia_LCFAL_YP_002092711.1_A1_1	Bce_LCFAL_YP_002092711.1_A1_1	Outgroups
Chlorobium_ferrooxidans_ZP_01386298.1_A1_1	Cf_ZP_01386298.1_A1_1	Bact
Claviceps_purpurea_PS1_CAB39315.1_A1_3	Cp_PS1_CAB39315.1_A1_3	EAS
Claviceps_purpurea_PS1_CAB39315.1_A2_3	Cp_PS1_CAB39315.1_A2_3	EAS
Claviceps_purpurea_PS1_CAB39315.1_A3_3	Cp_PS1_CAB39315.1_A3_3	EAS
Claviceps_purpurea_PS2_CAD28788.1_A1_1	Cp_PS2_CAD28788.1_A1_1	EAS
Claviceps_purpurea_PS3_CAI59267.1_A1_1	Cp_PS3_CAI59267.1_A1_1	EAS
Claviceps_purpurea_PS4_CAI59268.1_A1_3	Cp_PS4_CAI59268.1_A1_3	EAS
Claviceps_purpurea_PS4_CAI59268.1_A2_3	Cp_PS4_CAI59268.1_A2_3	EAS
Claviceps_purpurea_PS4_CAI59268.1_A3_3	Cp_PS4_CAI59268.1_A3_3	EAS
Clostridium_cellulyticum_ZP_01573792.1_A1_1	Cce_ZP_01573792.1_A1_1	Bact
Coccidiodes_immitis_CIMG00941.3_A1_3	Ci_CIMG00941.3_A1_3	SID
Coccidiodes_immitis_CIMG00941.3_A2_3	Ci_CIMG00941.3_A2_3	SID
Coccidiodes_immitis_CIMG00941.3_A3_3	Ci_CIMG00941.3_A3_3	SID
Coccidiodes_immitis_CIMG01861.3_A1_2	Ci_CIMG01861.3_A1_2	EAS
Coccidiodes_immitis_CIMG01861.3_A2_2	Ci_CIMG01861.3_A2_2	EAS
Coccidiodes_immitis_CIMG03170.3_A1_1	Ci_CIMG03170.3_A1_1	EAS
Coccidiodes_immitis_CIMG06629.3_A1_1	Ci_CIMG06629.3_A1_1	PKS;NRPS
Coccidiodes_immitis_CIMG07298.3_A1_1	Ci_CIMG07298.3_A1_1	EAS
Coccidiodes_immitis_CIMG09750.3_A1_5	Ci_CIMG09750.3_A1_5	EAS
Coccidiodes_immitis_CIMG09750.3_A2_5	Ci_CIMG09750.3_A2_5	EAS
Coccidiodes_immitis_CIMG09750.3_A3_5	Ci_CIMG09750.3_A3_5	EAS
Coccidiodes_immitis_CIMG09750.3_A4_5	Ci_CIMG09750.3_A4_5	EAS
Coccidiodes_immitis_CIMG09750.3_A5_5	Ci_CIMG09750.3_A5_5	EAS
Coccidiodes_immitis_NPS6_CIMG01429.3_A1_1	Ci_NPS6_CIMG01429.3_A1_1	EAS
Cochliobolus_carbonum_HTS1_AAA33023.1_A1_4	Cca_HTS1_AAA33023.1_A1_4	EAS
Cochliobolus_carbonum_HTS1_AAA33023.1_A3_4	Cca_HTS1_AAA33023.1_A3_4	EAS
Cochliobolus_carbonum_HTS1_AAA33023.2_A2_4	Cca_HTS1_AAA33023.2_A2_4	EAS
Cochliobolus_carbonum_HTS1_AAA33023.2_A4_4	Cca_HTS1_AAA33023.2_A4_4	EAS
Cochliobolus_heterostrophus_AAR_CocheC5_115936_A1_1	Ch_AAR_CocheC5_115936_A1_1	AAR
Cochliobolus_heterostrophus_ACL_CochC5_97601_A1_1	Ch_ACL_CochC5_97601_A1_1	Outgroups
Cochliobolus_heterostrophus_ACOAS_CocheC5_11359_A1_1	Ch_ACOAS_CocheC5_11359_A1_1	Outgroups
Cochliobolus_heterostrophus_CPS1_CocheC5_66090_A1_2	Ch_CPS1_CocheC5_66090_A1_2	Outgroups
Cochliobolus_heterostrophus_CPS1_CocheC5_66090_A2_2	Ch_CPS1_CocheC5_66090_A2_2	Outgroups
Cochliobolus_heterostrophus_LCFAL_CocheC5_31926_A1_1	Ch_LCFAL_CocheC5_31926_A1_1	Outgroups
Cochliobolus_heterostrophus_NPS1_CocheC5_84777_A1_3	Ch_NPS1_CocheC5_84777_A1_3	EAS
Cochliobolus_heterostrophus_NPS1_CocheC5_84777_A2_3	Ch_NPS1_CocheC5_84777_A2_3	CYCLO
Cochliobolus_heterostrophus_NPS1_CocheC5_84777_A3_3	Ch_NPS1_CocheC5_84777_A3_3	EAS
Cochliobolus_heterostrophus_NPS10_CocheC5_29312_A1_1	Ch_NPS10_CocheC5_29312_A1_1	ChNPS10
Cochliobolus_heterostrophus_NPS11_CocheC5_115564_A1_1	Ch_NPS11_CocheC5_115564_A1_1	ChNPS11/ETP Mod 1
Cochliobolus_heterostrophus_NPS12_CochC5_118012_A1_1	Ch_NPS12_CochC5_118012_A1_1	ChNPS11/ETP Mod 2
Cochliobolus_heterostrophus_NPS12_CocheC5_116719_A1_1	Ch_NPS12_CocheC5_116719_A1_1	ChNPS11/ETP Mod 2
Cochliobolus_heterostrophus_NPS13_CocheC5_16574_A1_1	Ch_NPS13_CocheC5_16574_A1_1	EAS
Cochliobolus_heterostrophus_NPS2_CochC5_77609_A2_4	Ch_NPS2_CochC5_77609_A2_4	SID
Cochliobolus_heterostrophus_NPS2_CocheC5_77609_A1_4	Ch_NPS2_CocheC5_77609_A1_4	EAS
Cochliobolus_heterostrophus_NPS2_CocheC5_77609_A3_4	Ch_NPS2_CocheC5_77609_A3_4	SID
Cochliobolus_heterostrophus_NPS2_CocheC5_77609_A4_4	Ch_NPS2_CocheC5_77609_A4_4	SID
Cochliobolus_heterostrophus_NPS3_CochC5_15959_A2_4	Ch_NPS3_CochC5_15959_A2_4	CYCLO
Cochliobolus_heterostrophus_NPS3_CochC5_15959_A4_4	Ch_NPS3_CochC5_15959_A4_4	CYCLO
Cochliobolus_heterostrophus_NPS3_CocheC5_15959_A1_4	Ch_NPS3_CocheC5_15959_A1_4	EAS
Cochliobolus_heterostrophus_NPS3_CocheC5_15959_A3_4	Ch_NPS3_CocheC5_15959_A3_4	EAS
Cochliobolus_heterostrophus_NPS4_CochC5_112395_A3_4	Ch_NPS4_CochC5_112395_A3_4	EAS
Cochliobolus_heterostrophus_NPS4_CocheC5_112395_A1_4	Ch_NPS4_CocheC5_112395_A1_4	EAS
Cochliobolus_heterostrophus_NPS4_CocheC5_112395_A4_4	Ch_NPS4_CocheC5_112395_A4_4	EAS
Cochliobolus_heterostrophus_NPS4_CocheC5_112395_AMP2_4	Ch_NPS4_CocheC5_112395_AMP2_4	EAS
Cochliobolus_heterostrophus_NPS5_CocheC5_94644_A1_2	Ch_NPS5_CocheC5_94644_A1_2	EAS
Cochliobolus_heterostrophus_NPS5_CocheC5_94644_A2_2	Ch_NPS5_CocheC5_94644_A2_2	EAS
Cochliobolus_heterostrophus_NPS6_CocheC5_33171_A1_1	Ch_NPS6_CocheC5_33171_A1_1	EAS
Cochliobolus_heterostrophus_NPS7_CocheC5_89648_A1_1	Ch_NPS7_CocheC5_89648_A1_1	Bact
Cochliobolus_heterostrophus_NPS8_CocheC5_94248_A1_2	Ch_NPS8_CocheC5_94248_A1_2	EAS
Cochliobolus_heterostrophus_NPS8_CocheC5_94248_A2_2	Ch_NPS8_CocheC5_94248_A2_2	EAS
Cochliobolus_heterostrophus_NPS9_CocheC5_119280_A1_2	Ch_NPS9_CocheC5_119280_A1_2	EAS
Cochliobolus_heterostrophus_NPS9_CocheC5_119280_A2_2	Ch_NPS9_CocheC5_119280_A2_2	EAS
Coprinus_cinerea_CC1G03009.2_A1_1	Cc_CC1G03009.2_A1_1	ChNPS11/ETP Mod 2
Coprinus_cinerea_CC1G04210.2_A1_1	Cc_CC1G04210.2_A1_1	SID
Coprinus_cinerea_CC1G06235.2_A1_1	Cc_CC1G06235.2_A1_1	ChNPS11/ETP Mod 2
Coprinus_cinerea_CC1G06250.2_A1_1	Cc_CC1G06250.2_A1_1	ChNPS11/ETP Mod 2
Crocosphaera_watsonii_ZP_00515352.1_A1_1	Cw_ZP_00515352.1_A1_1	Bact
Cyanothece_sp._ZP_01728758.1_A1_1	Csp._ZP_01728758.1_A1_1	Bact
Debaryomyces_hansenii_AAR_DEHA0D08734g_A1_1	Dh_AAR_DEHA0D08734g_A1_1	AAR
Dinoroseobacter_shibae_ACL_YP_001531603.1_AMP1_1	Ds_ACL_YP_001531603.1_AMP1_1	Outgroups
Epichloe_festuca_PerA_BAE06845.1_A1_2	Ef_PerA_BAE06845.1_A1_2	EAS
Epichloe_festuca_PerA_BAE06845.1_A2_2	Ef_PerA_BAE06845.1_A2_2	EAS
Escherichia_coli_ACOAS_NP_756916.1_A1_1	Ec_ACOAS_NP_756916.1_A1_1	Outgroups
Escherichia_coli_EntF_AAA92015.1_A1_1	Ec_EntF_AAA92015.1_A1_1	Bact
Fusarium_equiseti_Esyn1_CAA79245.2_A1_2	Fe_Esyn1_CAA79245.2_A1_2	EAS
Fusarium_equiseti_Esyn1_CAA79245.2_A2_2	Fe_Esyn1_CAA79245.2_A2_2	CYCLO
Fusarium_graminearum_AAR_FGSG06041.3_A1_1	Fg_AAR_FGSG06041.3_A1_1	AAR
Fusarium_graminearum_ACL_FGSG03589.3_A1_1	Fg_ACL_FGSG03589.3_A1_1	Outgroups
Fusarium_graminearum_CPS1_FGSG06631.3_A1_2	Fg_CPS1_FGSG06631.3_A1_2	Outgroups
Fusarium_graminearum_CPS1_FGSG06631.3_A2_2	Fg_CPS1_FGSG06631.3_A2_2	Outgroups
Fusarium_graminearum_FG00042.2_A1_7	Fg_FG00042.2_A1_7	EAS
Fusarium_graminearum_FG00042.2_A3_7	Fg_FG00042.2_A3_7	EAS
Fusarium_graminearum_FG00042.2_A4_7	Fg_FG00042.2_A4_7	EAS
Fusarium_graminearum_FG00042.2_A5_7	Fg_FG00042.2_A5_7	EAS
Fusarium_graminearum_FG00042.2_A6_7	Fg_FG00042.2_A6_7	EAS
Fusarium_graminearum_FG00042.2_A7_7	Fg_FG00042.2_A7_7	EAS
Fusarium_graminearum_FG13783.3_A1_7	Fg_FG13783.3_A1_7	EAS
Fusarium_graminearum_FG13783.3_A2_7	Fg_FG13783.3_A2_7	EAS
Fusarium_graminearum_FGSG00042.3_A2_7	Fg_FGSG00042.3_A2_7	EAS
Fusarium_graminearum_FGSG01680.3_A1_1	Fg_FGSG01680.3_A1_1	EAS
Fusarium_graminearum_FGSG02315.3_A1_5	Fg_FGSG02315.3_A1_5	EAS
Fusarium_graminearum_FGSG02315.3_A2_5	Fg_FGSG02315.3_A2_5	EAS
Fusarium_graminearum_FGSG02315.3_A3_5	Fg_FGSG02315.3_A3_5	EAS
Fusarium_graminearum_FGSG02315.3_A4_5	Fg_FGSG02315.3_A4_5	EAS
Fusarium_graminearum_FGSG02315.3_A5_5	Fg_FGSG02315.3_A5_5	EAS
Fusarium_graminearum_FGSG02394.3_A1_2	Fg_FGSG02394.3_A1_2	EAS
Fusarium_graminearum_FGSG02394.3_A2_2	Fg_FGSG02394.3_A2_2	EAS
Fusarium_graminearum_FGSG03245.3_A1_1	Fg_FGSG03245.3_A1_1	ChNPS11/ETP Mod 2
Fusarium_graminearum_FGSG05372.3_A1_3	Fg_FGSG05372.3_A1_3	SID
Fusarium_graminearum_FGSG05372.3_A2_3	Fg_FGSG05372.3_A2_3	SID
Fusarium_graminearum_FGSG05372.3_A3_3	Fg_FGSG05372.3_A3_3	SID
Fusarium_graminearum_FGSG07798.3_A1_1	Fg_FGSG07798.3_A1_1	PKS;NRPS
Fusarium_graminearum_FGSG08209.3_A1_3	Fg_FGSG08209.3_A1_3	EAS
Fusarium_graminearum_FGSG08209.3_A2_3	Fg_FGSG08209.3_A2_3	EAS
Fusarium_graminearum_FGSG08209.3_A3_3	Fg_FGSG08209.3_A3_3	EAS
Fusarium_graminearum_FGSG10523.3_A1_1	Fg_FGSG10523.3_A1_1	EAS
Fusarium_graminearum_FGSG10702.3_A1_1	Fg_FGSG10702.3_A1_1	EAS
Fusarium_graminearum_FGSG10990.3_A1_1	Fg_FGSG10990.3_A1_1	EAS
Fusarium_graminearum_FGSG11026.3_A1_3	Fg_FGSG11026.3_A1_3	SID
Fusarium_graminearum_FGSG11026.3_A2_3	Fg_FGSG11026.3_A2_3	SID
Fusarium_graminearum_FGSG11026.3_A3_3	Fg_FGSG11026.3_A3_3	SID
Fusarium_graminearum_FGSG11294.3_A1_1	Fg_FGSG11294.3_A1_1	ChNPS11/ETP Mod 2
Fusarium_graminearum_FGSG11395.3_A1_2	Fg_FGSG11395.3_A1_2	EAS
Fusarium_graminearum_FGSG11395.3_A2_2	Fg_FGSG11395.3_A2_2	EAS
Fusarium_graminearum_FGSG11989.3_A1_1	Fg_FGSG11989.3_A1_1	CYCLO
Fusarium_graminearum_FGSG13153.3_A1_1	Fg_FGSG13153.3_A1_1	ChNPS11/ETP Mod 2
